,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,team1_powerplay,team2_powerplay,average_SR_inning1,average_SR_inning2,average_RR_inning1,average_RR_inning2,team2_extras,team1_extras
0,1,2017,Hyderabad,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,59.0,54.0,1.656,1.3983739837398375,9.936,8.390243902439025,7.0,6.0
1,2,2017,Pune,2017-04-06,Mumbai Indians,Pune Warriors,Pune Warriors,field,normal,0,Pune Warriors,0,7,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,61.0,59.0,1.472,1.5327868852459017,8.832,9.196721311475411,8.0,4.0
2,3,2017,Rajkot,2017-04-07,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,10,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan,52.0,73.0,1.5,1.9166666666666667,9.0,11.5,4.0,15.0
3,4,2017,Indore,2017-04-08,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,35.0,56.0,1.304,1.3442622950819672,7.824000000000001,8.065573770491804,6.0,10.0
4,5,2017,Bengaluru,2017-04-08,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,15,0,KM Jadhav,M Chinnaswamy Stadium,,,41.0,43.0,1.2661290322580645,1.1451612903225807,7.596774193548387,6.870967741935483,6.0,5.0
5,6,2017,Hyderabad,2017-04-09,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong,40.0,59.0,1.125,1.4583333333333333,6.75,8.75,3.0,3.0
6,7,2017,Mumbai,2017-04-09,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan,59.0,49.0,1.390625,1.4285714285714286,8.34375,8.571428571428571,9.0,12.0
7,8,2017,Indore,2017-04-10,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,8,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,23.0,62.0,1.2032520325203253,1.6853932584269662,7.219512195121951,10.112359550561797,4.0,6.0
8,9,2017,Pune,2017-04-11,Delhi Capitals,Pune Warriors,Pune Warriors,field,normal,0,Delhi Capitals,97,0,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi,62.0,50.0,1.64,1.0693069306930694,9.84,6.415841584158416,8.0,5.0
9,10,2017,Mumbai,2017-04-12,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan,34.0,61.0,1.253968253968254,1.407079646017699,7.523809523809524,8.442477876106196,11.0,4.0
10,11,2017,Kolkata,2017-04-13,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,57.0,76.0,1.3076923076923077,1.6442307692307692,7.846153846153846,9.865384615384617,16.0,11.0
11,12,2017,Bengaluru,2017-04-14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary,41.0,21.0,1.1451612903225807,1.218487394957983,6.870967741935483,7.3109243697479,11.0,13.0
12,13,2017,Rajkot,2017-04-14,Pune Warriors,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,64.0,61.0,1.3790322580645162,1.5357142857142858,8.274193548387096,9.214285714285714,5.0,5.0
13,14,2017,Kolkata,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,17,0,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong,40.0,45.0,1.3650793650793651,1.25,8.19047619047619,7.5,11.0,7.0
14,15,2017,Delhi,2017-04-15,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,normal,0,Delhi Capitals,51,0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon,49.0,40.0,1.4803149606299213,1.1322314049586777,8.881889763779528,6.793388429752066,10.0,2.0
15,16,2017,Mumbai,2017-04-16,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi,46.0,56.0,1.3968253968253967,1.416,8.380952380952381,8.496,11.0,13.0
16,17,2017,Bengaluru,2017-04-16,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Pune Warriors,27,0,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin,55.0,42.0,1.2777777777777777,1.0806451612903225,7.666666666666667,6.483870967741935,13.0,8.0
17,18,2017,Delhi,2017-04-17,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,normal,0,Kolkata Knight Riders,0,4,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan,53.0,49.0,1.3770491803278688,1.3739837398373984,8.262295081967213,8.24390243902439,3.0,11.0
18,19,2017,Hyderabad,2017-04-17,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh,29.0,51.0,1.272,1.2419354838709677,7.632000000000001,7.451612903225806,11.0,10.0
19,20,2017,Rajkot,2017-04-18,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Royal Challengers Bangalore,21,0,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma,45.0,57.0,1.7317073170731707,1.5238095238095237,10.390243902439025,9.142857142857142,4.0,8.0
20,21,2017,Hyderabad,2017-04-19,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong,39.0,56.0,1.5528455284552845,1.4426229508196722,9.317073170731707,8.655737704918034,4.0,7.0
21,22,2017,Indore,2017-04-20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,JC Buttler,Holkar Cricket Stadium,M Erasmus,C Shamshuddin,46.0,82.0,1.5590551181102361,2.0306122448979593,9.354330708661417,12.183673469387756,12.0,8.0
